id,title,description,achievement_type,target_id,goal_value,sort_order,initial_unlock,next_unlock_id
1,かっぱ巻きを {goal_value} 集めよう,,1,1,5,1,1,2
2,かっぱ巻きを {goal_value} 集めよう,,1,1,10,101,0,3
3,かっぱ巻きを {goal_value} 集めよう,,1,1,15,201,0,4
4,かっぱ巻きを {goal_value} 集めよう,,1,1,20,301,0,5
5,かっぱ巻きを {goal_value} 集めよう,,1,1,25,401,0,6
101,たまごを {goal_value} 集めよう,,1,2,5,2,0,102
102,たまごを {goal_value} 集めよう,,1,2,10,102,0,103
103,たまごを {goal_value} 集めよう,,1,2,15,202,0,104
104,たまごを {goal_value} 集めよう,,1,2,20,302,0,105
105,たまごを {goal_value} 集めよう,,1,2,25,402,0,106
201,イカを {goal_value} 集めよう,,1,3,5,3,0,202
202,イカを {goal_value} 集めよう,,1,3,10,103,0,203
203,イカを {goal_value} 集めよう,,1,3,15,203,0,204
204,イカを {goal_value} 集めよう,,1,3,20,303,0,205
205,イカを {goal_value} 集めよう,,1,3,25,403,0,206
301,エビを {goal_value} 集めよう,,1,4,5,4,0,302
302,エビを {goal_value} 集めよう,,1,4,10,104,0,303
303,エビを {goal_value} 集めよう,,1,4,15,204,0,304
304,エビを {goal_value} 集めよう,,1,4,20,304,0,305
305,エビを {goal_value} 集めよう,,1,4,25,404,0,306
401,,,1,5,5,5,0,402
402,,,1,5,10,105,0,403
403,,,1,5,15,205,0,404
404,,,1,5,20,305,0,405
405,,,1,5,25,405,0,406
501,,,1,6,5,6,0,502
502,,,1,6,10,106,0,503
503,,,1,6,15,206,0,504
504,,,1,6,20,306,0,505
505,,,1,6,25,406,0,506
601,,,1,7,5,7,0,602
602,,,1,7,10,107,0,603
603,,,1,7,15,207,0,604
604,,,1,7,20,307,0,605
605,,,1,7,25,407,0,606
701,,,1,8,5,8,0,702
702,,,1,8,10,108,0,703
703,,,1,8,15,208,0,704
704,,,1,8,20,308,0,705
705,,,1,8,25,408,0,706
801,,,1,9,5,9,0,802
802,,,1,9,10,109,0,803
803,,,1,9,15,209,0,804
804,,,1,9,20,309,0,805
805,,,1,9,25,409,0,806
901,,,1,10,5,10,0,902
902,,,1,10,10,110,0,903
903,,,1,10,15,210,0,904
904,,,1,10,20,310,0,905
905,,,1,10,25,410,0,906
1001,,,1,11,5,11,0,1002
1002,,,1,11,10,111,0,1003
1003,,,1,11,15,211,0,1004
1004,,,1,11,20,311,0,1005
1005,,,1,11,25,411,0,1006
