key,en,jp,ru,da,de,es,fi,fr,hu,it,nb,pl,pt
русское название языка,Английский,Английский,Русский,Датский,Немецкий,Испанский,Финский,Французский,Венгерский,Итальянский,Норвежский,Польский,Португальский
локализированное,English,Japanese,Русский,Dansk,Deutsche,Español,Suomalainen,Français,Magyar,Italiano,Norsk,Polski,Português
,,,,,,,,,,,,,
strAbc,BOATUSCRELXFNDWKPHMYIJGVQZ,BOATUSCRELXFNDWKPHMYIJGVQZ,ЗИМАЛЕТОСНЬГРУБКЦФДЫХПЙЖВЪШЧЯЭЮЩ,SURFANDOLETÅVIMGKBØPÆJCHYQZXWAZU,GRÜNOTELBSÄUADZFIKMCHWPVYQÖJXORFU,ESTNORUÓQLBCADFIKMGYJHPZVXW,BUSIVENATORKFLMYÄHPJÖDCQZGWX,OUESTNRDMAILBZGFHJVCPKXQWY,BOTKANÁLDUJYRŐSZVÉPIGÖEFÍŰHMCWXQ,NORDESTUVABIFLXCMZGHPJKQYW,BUSILYKEÅTAPVNDRFGOJØMCHQZWTREX,PLAŻUŁSZJEIŃWONMTKFBCRYGŚĄDĘHÓVQŹĆX,NORTELSUKAXIFMÔCHVDJÉBPQZÂÇÃÍGÊÚÓÁYWÛÕÀ
,,,,,,,,,,,,,
strPlay,Play,プレイ,Играть,Spil,Spielen,Jugar,pelata,Jouer,Játék,Giocare,Spille,Grać,Jogar
strSettings,Settings,設定,настройки,Indstillinger,Einstellungen,Ajustes,asetukset,Paramètres,Beállítások,Impostazioni,Innstillinger,Ustawienia,Configurações
strSounds,Sounds,サウンド,звуки,Lyde,Geräusche,sonidos,Äänet,Des sons,Hangok,Suoni,Lyder,Dźwięki,Sons
strVibrations,Vibrations,振動,вибрации,Vibrationer,Vibrationen,Vibraciones,Tärinä,Vibrations,Rezgések,Vibrazioni,Vibrasjoner,Wibracje,Vibrações
strPrivacyPolicy,Privacy Policy,プライバシーポリシー,Политика конфиденциальности,Fortrolighedspolitik,Datenschutzrichtlinie,política de privacidad,Tietosuojakäytäntö,politique de confidentialité,Adatvédelmi irányelvek,politica sulla riservatezza,Personvernerklæring,Polityka prywatności,política de Privacidade
strCollect,Collect,収集,собрать,Indsamle,Sammeln,Recolectar,Kerätä,Collecter,Gyűjt,Raccogliere,Samle inn,Zbierać,Coletar
strCollectX,Collect x{0},x{0} を収集,собрать x{0},Saml x{0},Sammle x{0},Recoger x{0},Kerää x{0},Collecter x{0},Gyűjts össze x-et{0},Raccogli x{0},Samle x{0},Zbierz x{0},Colete x{0}
strSelectLanguage,Select language,言語を選択,Выберите язык,Vælg sprog,Sprache auswählen,Seleccione el idioma,Valitse kieli,Choisir la langue,Válasszon nyelvet,Seleziona la lingua,Velg språk,Wybierz język,Selecione o idioma
strSelect,Select,選択,Выбрать,Vælg,Wählen,Seleccionar,Valitse,Sélectionner,Válassza ki,Selezionare,Plukke ut,Wybierać,Selecione
strComplete,Complete,完了,полный,Komplet,Vollständig,Completo,Saattaa loppuun,Complet,teljes,Completare,Fullstendig,Kompletny,Completo
strTutorial,Tutorial,チュートリアル,Обучение,Tutorial,Lernprogramm,Tutorial,Opetusohjelma,Didacticiel,Oktatóanyag,Esercitazione,Opplæringen,Instruktaż,Tutorial
strLanguage,Language,言語,язык,Sprog,Sprache,Idioma,Kieli,Langue,Nyelv,Lingua,Språk,Język,Linguagem
strFree,Free,無料,свободно,Gratis,Frei,Gratis,Vapaa,Gratuit,Ingyenes,Gratuito,Gratis,Bezpłatny,Livre
